HEAD;Marca;Proveedor (Proveedor del Producto);Número de Documento;Empresa Matriz;NIT / CC
0;Las marias;*;*;Las Marías S.A.;890.102.058-4
1;Fazenda;*;*;Fazenda S.A.S.;N/D
2;Fazenda;*;*;Fazenda S.A.S.;N/D
3;Blancox;*;*;Blancox S.A.;N/D
4;Blancox;*;*;Blancox S.A.;N/D
5;Blancox;*;*;Blancox S.A.;N/D
6;Blancox;*;*;Blancox S.A.;N/D
7;Aromax;*;*;Aromax S.A.;N/D
8;Ranchera;*;*;Ranchera S.A.;N/D
9;Ranchera;*;*;Ranchera S.A.;N/D
10;Ranchera;*;*;Ranchera S.A.;N/D
11;Zenú;*;*;Alimentos Cárnicos S.A. (Grupo Nutresa);890.930.039-3
12;Rica;*;*;Fábrica de Embutidos Rica S.A.;890.102.043-6
13;Zenú;*;*;Alimentos Cárnicos S.A. (Grupo Nutresa);890.930.039-3
14;Zenú;*;*;Alimentos Cárnicos S.A. (Grupo Nutresa);890.930.039-3
15;Zenú;*;*;Alimentos Cárnicos S.A. (Grupo Nutresa);890.930.039-3
16;Colanta;*;*;Cooperativa Lechera Colanta Ltda.;890.102.042-8
17;Colanta;*;*;Cooperativa Lechera Colanta Ltda.;890.102.042-8
18;Mac Pollo;*;*;Mac Pollo S.A.;890.102.052-6
19;Colanta;*;*;Cooperativa Lechera Colanta Ltda.;890.102.042-8
20;Colanta;*;*;Cooperativa Lechera Colanta Ltda.;890.102.042-8
21;Colanta;*;*;Cooperativa Lechera Colanta Ltda.;890.102.042-8
22;Becker;*;*;Alimentos Cárnicos S.A. (Grupo Nutresa);890.930.039-3
23;Zenú;*;*;Alimentos Cárnicos S.A. (Grupo Nutresa);890.930.039-3
24;Zenú;*;*;Alimentos Cárnicos S.A. (Grupo Nutresa);890.930.039-3
25;Zenú;*;*;Alimentos Cárnicos S.A. (Grupo Nutresa);890.930.039-3
26;Zenú;*;*;Alimentos Cárnicos S.A. (Grupo Nutresa);890.930.039-3
27;Colanta;*;*;Cooperativa Lechera Colanta Ltda.;890.102.042-8
28;Becker;*;*;Alimentos Cárnicos S.A. (Grupo Nutresa);890.930.039-3
29;Zenú;*;*;Alimentos Cárnicos S.A. (Grupo Nutresa);890.930.039-3
30;Zenú;*;*;Alimentos Cárnicos S.A. (Grupo Nutresa);890.930.039-3
31;Mac Pollo;*;*;Mac Pollo S.A.;890.102.052-6
32;Mac Pollo;*;*;Mac Pollo S.A.;890.102.052-6
33;Carfrisan;*;*;Productos Cárnicos Carfrisan S.A.;890.100.166-9
